task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	54/200174	309	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:B0)	COMPLETED	0	2026-08-13 20:53:31.820	425ms	257ms	121.3%	10 MB	377.9 MB	151.8 KB	18.7 KB
9	af/7cc379	228	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:R1)	COMPLETED	0	2026-08-13 20:53:31.777	381ms	218ms	128.3%	9.9 MB	353.9 MB	151.6 KB	19 KB
13	67/33fc48	1022	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:R1)	COMPLETED	0	2026-08-13 20:53:32.270	317ms	142ms	105.5%	20.8 MB	44.9 MB	1.5 MB	1 KB
2	f4/3e44f2	196	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:B0)	COMPLETED	0	2026-08-13 20:53:31.747	898ms	733ms	116.5%	12.7 MB	378.1 MB	514.2 KB	196.8 KB
5	24/d2cbac	252	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:R1)	COMPLETED	0	2026-08-13 20:53:31.794	891ms	732ms	117.0%	12.8 MB	346.2 MB	511.3 KB	200.3 KB
14	47/a22dc1	1222	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:B0)	COMPLETED	0	2026-08-13 20:53:32.610	333ms	155ms	110.3%	20 MB	43.5 MB	1.5 MB	984 B
16	30/503813	1305	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:B0)	COMPLETED	0	2026-08-13 20:53:32.731	311ms	136ms	111.8%	21.3 MB	44.9 MB	2.2 MB	1.1 KB
17	a1/1155b5	1330	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:R1)	COMPLETED	0	2026-08-13 20:53:32.753	321ms	148ms	111.2%	21.1 MB	44.9 MB	2.2 MB	16.6 KB
8	ac/0d5b6a	175	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_TRAIN (animal:R1:train)	COMPLETED	0	2026-08-13 20:53:31.719	1m 4s	1m 4s	265.1%	441 MB	4.2 GB	1.2 GB	17.8 MB
6	5a/700270	1289	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_TRAIN (animal:B0:train)	COMPLETED	0	2026-08-13 20:53:32.708	1m 4s	1m 4s	260.5%	441 MB	4.1 GB	1.2 GB	17.9 MB
1	3c/46b10c	9137	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_TRAIN (plant:B0:train)	COMPLETED	0	2026-08-13 20:54:35.711	1m 3s	1m 3s	491.8%	649.4 MB	4.2 GB	1.2 GB	446.2 MB
4	89/cbdfc1	9384	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_TRAIN (plant:R1:train)	COMPLETED	0	2026-08-13 20:54:37.192	1m 3s	1m 2s	490.1%	633 MB	4.2 GB	1.2 GB	439.8 MB
15	8d/1e2214	15576	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:R1:heldout)	COMPLETED	0	2026-08-13 20:55:39.748	17.8s	17.7s	253.3%	411.7 MB	4.1 GB	310.2 MB	4.7 MB
18	22/0559f2	17883	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:B0:heldout)	COMPLETED	0	2026-08-13 20:55:57.616	19s	18.9s	241.7%	434.8 MB	4.4 GB	310.2 MB	4.7 MB
19	f7/5f3257	20051	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:B0:heldout)	COMPLETED	0	2026-08-13 20:56:16.643	17.9s	17.7s	438.4%	476.9 MB	4.2 GB	324.9 MB	115.1 MB
20	4d/a9492e	22007	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:R1:heldout)	COMPLETED	0	2026-08-13 20:56:34.515	17.6s	17.4s	444.1%	481.3 MB	4.2 GB	322.8 MB	113.4 MB
21	23/5abea8	24070	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_TRAIN (animal:R1:train)	COMPLETED	0	2026-08-13 20:56:52.117	2.5s	2.3s	245.0%	83 MB	17.2 GB	4.4 MB	2 MB
29	99/67bb04	24935	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CONSENSUS (animal:R1C1)	COMPLETED	0	2026-08-13 20:56:55.670	342ms	62ms	367.6%	3.4 MB	13.1 MB	144.4 KB	18 KB
22	4d/5304b3	24595	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_TRAIN (animal:B0:train)	COMPLETED	0	2026-08-13 20:56:54.650	2.8s	2.6s	225.1%	83 MB	17.2 GB	4.4 MB	2.1 MB
31	bb/8a07f4	25738	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CONSENSUS (animal:C0)	COMPLETED	0	2026-08-13 20:56:58.447	283ms	56ms	337.5%	3.4 MB	13.1 MB	145 KB	17.9 KB
23	58/3a2b77	25381	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_TRAIN (plant:B0:train)	COMPLETED	0	2026-08-13 20:56:57.429	55.7s	55.5s	108.2%	85.5 MB	17.2 GB	47.8 MB	28.2 MB
33	c0/b838a4	30788	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CONSENSUS (plant:C0)	COMPLETED	0	2026-08-13 20:57:54.167	355ms	74ms	290.9%	3.3 MB	13.1 MB	357 KB	199.3 KB
24	97/f74c36	30483	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_TRAIN (plant:R1:train)	COMPLETED	0	2026-08-13 20:57:53.148	46.5s	46.3s	109.5%	84.7 MB	17.2 GB	46.3 MB	28.2 MB
35	e2/dfc4b4	35003	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CONSENSUS (plant:R1C1)	COMPLETED	0	2026-08-13 20:58:39.654	405ms	151ms	115.8%	3.4 MB	13.1 MB	338.4 KB	199.4 KB
25	27/0f2fbc	34996	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:R1:heldout)	COMPLETED	0	2026-08-13 20:58:39.630	1s	852ms	466.3%	58.4 MB	17.2 GB	2.8 MB	2 MB
26	53/9a9d52	35496	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:B0:heldout)	COMPLETED	0	2026-08-13 20:58:40.670	1.1s	964ms	439.7%	62.6 MB	17.2 GB	2.8 MB	2 MB
37	32/8e6576	35861	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:R1)	COMPLETED	0	2026-08-13 20:58:41.697	554ms	319ms	68.8%	20.8 MB	43.9 MB	1.7 MB	1.8 KB
38	87/c9134b	36275	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:B0)	COMPLETED	0	2026-08-13 20:58:42.271	433ms	211ms	100.5%	21.7 MB	45.1 MB	1.7 MB	2.6 KB
27	4c/2621a5	35939	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:B0:heldout)	COMPLETED	0	2026-08-13 20:58:41.822	13.2s	13.1s	125.3%	83.6 MB	17.2 GB	31 MB	25 MB
39	36/7e4844	38541	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:B0)	COMPLETED	0	2026-08-13 20:58:56.092	610ms	452ms	101.6%	20.2 MB	43.7 MB	5.4 MB	54 KB
11	75/173366	155	HYBRID_REFERENCE_BUILD:M4_BWA_ALIGN (animal:B0)	COMPLETED	0	2026-08-13 20:53:31.658	5m 33s	5m 33s	420.3%	468.4 MB	729.3 MB	1.2 GB	3.5 GB
28	e4/b5bfd7	38230	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:R1:heldout)	COMPLETED	0	2026-08-13 20:58:55.076	10.1s	9.9s	134.7%	83.7 MB	17.2 GB	29.7 MB	24.2 MB
30	fc/aae3fc	39896	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:R1C1)	COMPLETED	0	2026-08-13 20:59:04.752	451ms	267ms	124.8%	10 MB	377.9 MB	151.9 KB	19 KB
32	a9/36754d	39908	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:C0)	COMPLETED	0	2026-08-13 20:59:04.771	500ms	318ms	111.8%	9.9 MB	409.9 MB	151.8 KB	18.7 KB
42	9d/06ecd5	40504	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:R1C1)	COMPLETED	0	2026-08-13 20:59:05.286	369ms	160ms	107.5%	20.7 MB	43.8 MB	1.5 MB	1.1 KB
34	8b/8c379b	39918	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:C0)	COMPLETED	0	2026-08-13 20:59:04.790	1s	862ms	115.3%	13 MB	378.1 MB	514.5 KB	199 KB
43	72/afa4ea	40863	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:C0)	COMPLETED	0	2026-08-13 20:59:05.670	332ms	148ms	108.0%	20.2 MB	43.7 MB	1.5 MB	1.1 KB
41	9e/aaf314	40453	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:R1)	COMPLETED	0	2026-08-13 20:59:05.237	795ms	578ms	103.9%	21.1 MB	44.9 MB	5.3 MB	25.7 KB
36	48/4b33b7	40402	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:R1C1)	COMPLETED	0	2026-08-13 20:59:05.155	958ms	765ms	118.6%	12.8 MB	346.2 MB	514.6 KB	200.2 KB
45	e0/ea962e	41012	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:C0)	COMPLETED	0	2026-08-13 20:59:06.016	350ms	166ms	107.9%	20.7 MB	43.8 MB	2.2 MB	12.2 KB
47	9e/d05433	41255	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:R1C1)	COMPLETED	0	2026-08-13 20:59:06.381	367ms	174ms	107.5%	20.5 MB	43.8 MB	2.2 MB	17.7 KB
12	02/49141d	371	HYBRID_REFERENCE_BUILD:M4_BWA_ALIGN (animal:R1)	COMPLETED	0	2026-08-13 20:53:31.844	5m 41s	5m 41s	420.1%	471 MB	769.3 MB	1.2 GB	3.5 GB
44	30/f596f6	41072	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:06.130	15.8s	15.7s	244.3%	413.1 MB	4.1 GB	310.2 MB	4.7 MB
46	44/31901b	42497	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:C0:heldout)	COMPLETED	0	2026-08-13 20:59:13.083	16.1s	16s	243.8%	413.2 MB	4.1 GB	310.2 MB	4.7 MB
48	46/b0f4cb	44270	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:C0:heldout)	COMPLETED	0	2026-08-13 20:59:21.987	15.7s	15.6s	442.6%	485.5 MB	4.2 GB	325.2 MB	115.2 MB
49	7d/c24332	45598	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:29.204	15.3s	15.2s	432.3%	484.6 MB	4.2 GB	322.5 MB	113.1 MB
51	72/8fb06f	48211	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:44.533	891ms	755ms	563.4%	59.3 MB	17.2 GB	2.8 MB	2 MB
52	2b/718033	48608	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:C0:heldout)	COMPLETED	0	2026-08-13 20:59:45.438	908ms	778ms	572.2%	58.5 MB	17.2 GB	2.8 MB	2 MB
55	70/2d74ed	49070	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:R1C1)	COMPLETED	0	2026-08-13 20:59:46.370	446ms	213ms	75.1%	20.7 MB	43.8 MB	1.7 MB	1.4 KB
56	9f/b6950b	49078	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:C0)	COMPLETED	0	2026-08-13 20:59:46.385	446ms	191ms	90.8%	20.9 MB	43.9 MB	1.7 MB	1.6 KB
53	1b/32f11b	49066	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:C0:heldout)	COMPLETED	0	2026-08-13 20:59:46.356	8.2s	7.9s	150.2%	83.6 MB	17.2 GB	31.3 MB	25.1 MB
40	4e/a3f819	40442	HYBRID_REFERENCE_BUILD:M4_POLYPOLISH (animal:B0)	COMPLETED	0	2026-08-13 20:59:05.219	49.5s	49.3s	101.3%	31.5 MB	43.1 MB	10.5 GB	3.5 GB
58	e7/00b9fc	51127	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:P0)	COMPLETED	0	2026-08-13 20:59:54.816	433ms	246ms	119.1%	10 MB	353.9 MB	151.6 KB	18.7 KB
57	96/5916f8	50899	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:C0)	COMPLETED	0	2026-08-13 20:59:54.629	717ms	438ms	92.0%	20 MB	43.5 MB	5.3 MB	4 KB
59	4e/9ad4df	51438	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:P0)	COMPLETED	0	2026-08-13 20:59:55.277	275ms	127ms	107.1%	20.3 MB	43.7 MB	1.5 MB	1.1 KB
54	03/52fead	50884	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:54.598	7.2s	7.1s	153.9%	83.3 MB	17.2 GB	29.6 MB	24 MB
61	47/813aff	53041	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:R1C1)	COMPLETED	0	2026-08-13 21:00:01.843	595ms	426ms	103.2%	19.6 MB	43.5 MB	5.3 MB	2.3 KB
60	0b/2cf1e2	51574	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:P0:heldout)	COMPLETED	0	2026-08-13 20:59:55.588	15s	14.9s	243.3%	425.7 MB	4.1 GB	310.2 MB	4.7 MB
