arm	region	projected_bases	callable_bases	callable_fraction	residual_loci	residual_rate_per_10kb
B0	unique_or_unresolved_flank	162286	104592	0.644492	186	17.783387
B0	ir_gap_closure_interval	37858	562	0.014845	2	35.587189
B0	all_regions	200144	105154	0.525392	188	17.878540
R1	unique_or_unresolved_flank	162105	104592	0.645211	99	9.465351
R1	ir_gap_closure_interval	37851	562	0.014848	0	0.000000
R1	all_regions	199956	105154	0.525886	99	9.414763
P0	unique_or_unresolved_flank	162286	104592	0.644492	2	0.191219
P0	ir_gap_closure_interval	37858	562	0.014845	0	0.000000
P0	all_regions	200144	105154	0.525392	2	0.190197
C0	unique_or_unresolved_flank	162286	104592	0.644492	3	0.286829
C0	ir_gap_closure_interval	37858	562	0.014845	0	0.000000
C0	all_regions	200144	105154	0.525392	3	0.285296
R1P1	unique_or_unresolved_flank	162146	104592	0.645048	1	0.095610
R1P1	ir_gap_closure_interval	37858	562	0.014845	0	0.000000
R1P1	all_regions	200004	105154	0.525759	1	0.095099
R1C1	unique_or_unresolved_flank	162138	104592	0.645080	3	0.286829
R1C1	ir_gap_closure_interval	37851	562	0.014848	0	0.000000
R1C1	all_regions	199989	105154	0.525799	3	0.285296
