read_id	read_length	target	alignment_length	identity	mapq
SRR27841065.1517	2199	CM084263.1_rotation_3_offset_10878	2236	0.962880	0
SRR27841065.1517	2199	CM084263.1_rotation_1_offset_3626	2236	0.962880	0
SRR27841065.1517	2199	CM084263.1_rotation_0_offset_0	2236	0.962880	0
SRR27841065.1517	2199	CM084263.1_rotation_2_offset_7252	2236	0.962880	0
SRR27841065.7482	1098	CM084263.1_rotation_0_offset_0	1132	0.939929	0
SRR27841065.7482	1098	CM084263.1_rotation_1_offset_3626	1132	0.939929	0
SRR27841065.7482	1098	CM084263.1_rotation_3_offset_10878	1132	0.939929	0
SRR27841065.7482	1098	CM084263.1_rotation_2_offset_7252	1132	0.939929	0
SRR27841065.13473	971	CM084263.1_rotation_0_offset_0	982	0.928717	0
SRR27841065.13473	971	CM084263.1_rotation_1_offset_3626	982	0.928717	0
SRR27841065.13473	971	CM084263.1_rotation_3_offset_10878	982	0.928717	0
SRR27841065.13473	971	CM084263.1_rotation_2_offset_7252	982	0.928717	0
SRR27841065.17587	589	CM084263.1_rotation_2_offset_7252	606	0.919142	0
SRR27841065.17587	589	CM084263.1_rotation_3_offset_10878	606	0.919142	0
SRR27841065.17587	589	CM084263.1_rotation_0_offset_0	606	0.919142	0
SRR27841065.17587	589	CM084263.1_rotation_1_offset_3626	606	0.919142	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	10664	0.965023	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	10664	0.965023	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	7290	0.966118	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	7024	0.962130	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	89	0.977528	1
SRR27841065.20002	15482	CM084263.1_rotation_2_offset_7252	86	0.941860	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	86	0.941860	0
SRR27841065.20002	15482	CM084263.1_rotation_3_offset_10878	86	0.941860	0
SRR27841065.20002	15482	CM084263.1_rotation_0_offset_0	86	0.941860	0
SRR27841065.20002	15482	CM084263.1_rotation_1_offset_3626	93	0.913978	1
SRR27841065.23948	8023	CM084263.1_rotation_0_offset_0	8135	0.965827	0
SRR27841065.23948	8023	CM084263.1_rotation_3_offset_10878	8135	0.965827	0
SRR27841065.23948	8023	CM084263.1_rotation_1_offset_3626	7155	0.966597	0
SRR27841065.23948	8023	CM084263.1_rotation_2_offset_7252	4642	0.962732	0
SRR27841065.32833	574	CM084263.1_rotation_0_offset_0	569	0.991213	0
SRR27841065.32833	574	CM084263.1_rotation_2_offset_7252	569	0.991213	0
SRR27841065.32833	574	CM084263.1_rotation_3_offset_10878	569	0.991213	0
SRR27841065.32833	574	CM084263.1_rotation_1_offset_3626	569	0.991213	0
SRR27841065.36018	466	CM084263.1_rotation_1_offset_3626	475	0.917895	0
SRR27841065.36018	466	CM084263.1_rotation_3_offset_10878	475	0.917895	0
SRR27841065.36018	466	CM084263.1_rotation_0_offset_0	475	0.917895	0
SRR27841065.36018	466	CM084263.1_rotation_2_offset_7252	338	0.931953	0
SRR27841065.38771	1841	CM084263.1_rotation_0_offset_0	1850	0.983784	0
SRR27841065.38771	1841	CM084263.1_rotation_2_offset_7252	1850	0.983784	0
SRR27841065.38771	1841	CM084263.1_rotation_1_offset_3626	1850	0.983784	0
SRR27841065.38771	1841	CM084263.1_rotation_3_offset_10878	1312	0.983994	0
SRR27841065.41957	982	CM084263.1_rotation_2_offset_7252	994	0.975855	0
SRR27841065.41957	982	CM084263.1_rotation_1_offset_3626	994	0.975855	0
SRR27841065.41957	982	CM084263.1_rotation_3_offset_10878	994	0.975855	0
SRR27841065.41957	982	CM084263.1_rotation_0_offset_0	994	0.975855	0
SRR27841065.46743	865	CM084263.1_rotation_0_offset_0	874	0.971396	0
SRR27841065.46743	865	CM084263.1_rotation_1_offset_3626	874	0.971396	0
SRR27841065.46743	865	CM084263.1_rotation_2_offset_7252	874	0.971396	0
SRR27841065.46743	865	CM084263.1_rotation_3_offset_10878	874	0.971396	0
SRR27841065.47924	590	CM084263.1_rotation_2_offset_7252	559	0.837209	0
SRR27841065.47924	590	CM084263.1_rotation_1_offset_3626	559	0.837209	0
SRR27841065.47924	590	CM084263.1_rotation_0_offset_0	559	0.837209	0
SRR27841065.47924	590	CM084263.1_rotation_3_offset_10878	541	0.835490	0
SRR27841065.50220	1057	CM084263.1_rotation_2_offset_7252	1092	0.931319	0
SRR27841065.50220	1057	CM084263.1_rotation_3_offset_10878	1092	0.931319	0
SRR27841065.50220	1057	CM084263.1_rotation_0_offset_0	1092	0.931319	0
SRR27841065.50220	1057	CM084263.1_rotation_1_offset_3626	909	0.932893	0
SRR27841065.50356	925	CM084263.1_rotation_0_offset_0	932	0.977468	0
SRR27841065.50356	925	CM084263.1_rotation_1_offset_3626	932	0.977468	0
SRR27841065.50356	925	CM084263.1_rotation_3_offset_10878	932	0.977468	0
SRR27841065.50356	925	CM084263.1_rotation_2_offset_7252	932	0.977468	0
SRR27841065.55774	1714	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.55774	1714	CM084263.1_rotation_3_offset_10878	91	0.989011	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.55774	1714	CM084263.1_rotation_2_offset_7252	91	0.989011	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	95	0.947368	57
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	93	0.935484	0
SRR27841065.55774	1714	CM084263.1_rotation_2_offset_7252	93	0.935484	0
SRR27841065.55774	1714	CM084263.1_rotation_1_offset_3626	93	0.935484	0
SRR27841065.55774	1714	CM084263.1_rotation_3_offset_10878	93	0.935484	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	83	0.975904	32
SRR27841065.55774	1714	CM084263.1_rotation_3_offset_10878	75	0.973333	0
SRR27841065.55774	1714	CM084263.1_rotation_1_offset_3626	75	0.973333	0
SRR27841065.55774	1714	CM084263.1_rotation_2_offset_7252	75	0.973333	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	75	0.973333	0
SRR27841065.55774	1714	CM084263.1_rotation_1_offset_3626	101	0.831683	0
SRR27841065.55774	1714	CM084263.1_rotation_3_offset_10878	101	0.831683	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	101	0.831683	0
SRR27841065.55774	1714	CM084263.1_rotation_2_offset_7252	101	0.831683	0
SRR27841065.55774	1714	CM084263.1_rotation_0_offset_0	95	0.852632	12
SRR27841065.57950	472	CM084263.1_rotation_1_offset_3626	476	0.987395	0
SRR27841065.57950	472	CM084263.1_rotation_2_offset_7252	476	0.987395	0
SRR27841065.57950	472	CM084263.1_rotation_3_offset_10878	476	0.987395	0
SRR27841065.57950	472	CM084263.1_rotation_0_offset_0	476	0.987395	0
SRR27841065.59440	797	CM084263.1_rotation_1_offset_3626	802	0.921446	0
SRR27841065.59440	797	CM084263.1_rotation_3_offset_10878	802	0.921446	0
SRR27841065.59440	797	CM084263.1_rotation_0_offset_0	802	0.921446	0
SRR27841065.59440	797	CM084263.1_rotation_2_offset_7252	802	0.921446	0
SRR27841065.61915	37365	CM084263.1_rotation_1_offset_3626	298	0.889262	0
SRR27841065.61915	37365	CM084263.1_rotation_3_offset_10878	298	0.889262	0
SRR27841065.61915	37365	CM084263.1_rotation_2_offset_7252	298	0.889262	0
SRR27841065.61915	37365	CM084263.1_rotation_0_offset_0	298	0.889262	0
SRR27841065.62071	20036	CM084263.1_rotation_1_offset_3626	19937	0.681748	60
SRR27841065.62071	20036	CM084263.1_rotation_0_offset_0	11218	0.974773	0
SRR27841065.62071	20036	CM084263.1_rotation_2_offset_7252	16289	0.617472	0
SRR27841065.62071	20036	CM084263.1_rotation_3_offset_10878	7577	0.972812	0
SRR27841065.62071	20036	CM084263.1_rotation_1_offset_3626	281	0.964413	60
SRR27841065.84172	1739	CM084263.1_rotation_2_offset_7252	91	0.978022	0
SRR27841065.84172	1739	CM084263.1_rotation_3_offset_10878	91	0.978022	0
SRR27841065.84172	1739	CM084263.1_rotation_1_offset_3626	91	0.978022	0
SRR27841065.84172	1739	CM084263.1_rotation_0_offset_0	91	0.978022	0
SRR27841065.84172	1739	CM084263.1_rotation_2_offset_7252	97	0.917526	1
SRR27841065.84172	1739	CM084263.1_rotation_1_offset_3626	97	0.917526	0
SRR27841065.84172	1739	CM084263.1_rotation_3_offset_10878	97	0.917526	0
SRR27841065.84172	1739	CM084263.1_rotation_0_offset_0	97	0.917526	0
SRR27841065.84172	1739	CM084263.1_rotation_2_offset_7252	93	0.935484	0
SRR27841065.84172	1739	CM084263.1_rotation_1_offset_3626	93	0.935484	0
SRR27841065.84172	1739	CM084263.1_rotation_3_offset_10878	93	0.935484	0
SRR27841065.84172	1739	CM084263.1_rotation_0_offset_0	91	0.934066	0
SRR27841065.84172	1739	CM084263.1_rotation_1_offset_3626	94	0.904255	0
SRR27841065.84172	1739	CM084263.1_rotation_0_offset_0	94	0.904255	0
SRR27841065.84172	1739	CM084263.1_rotation_3_offset_10878	94	0.904255	0
SRR27841065.84172	1739	CM084263.1_rotation_2_offset_7252	94	0.904255	0
SRR27841065.85563	3041	CM084263.1_rotation_2_offset_7252	2085	0.969784	0
SRR27841065.85563	3041	CM084263.1_rotation_0_offset_0	2085	0.969784	0
SRR27841065.85563	3041	CM084263.1_rotation_1_offset_3626	2085	0.969784	0
SRR27841065.85563	3041	CM084263.1_rotation_3_offset_10878	2085	0.969784	0
SRR27841065.85563	3041	CM084263.1_rotation_0_offset_0	92	0.956522	5
SRR27841065.88347	2891	CM084263.1_rotation_1_offset_3626	2916	0.980453	0
SRR27841065.88347	2891	CM084263.1_rotation_0_offset_0	2916	0.980453	0
SRR27841065.88347	2891	CM084263.1_rotation_2_offset_7252	2916	0.980453	0
SRR27841065.88347	2891	CM084263.1_rotation_3_offset_10878	1846	0.989166	0
SRR27841065.95183	7101	CM084263.1_rotation_1_offset_3626	5452	0.984226	0
SRR27841065.95183	7101	CM084263.1_rotation_0_offset_0	5452	0.984226	0
SRR27841065.95183	7101	CM084263.1_rotation_2_offset_7252	5452	0.984226	0
SRR27841065.95183	7101	CM084263.1_rotation_3_offset_10878	3645	0.985460	0
SRR27841065.95183	7101	CM084263.1_rotation_2_offset_7252	144	0.861111	0
SRR27841065.95183	7101	CM084263.1_rotation_3_offset_10878	144	0.861111	0
SRR27841065.95183	7101	CM084263.1_rotation_1_offset_3626	144	0.861111	0
SRR27841065.95183	7101	CM084263.1_rotation_1_offset_3626	91	0.989011	0
SRR27841065.95183	7101	CM084263.1_rotation_0_offset_0	91	0.989011	0
SRR27841065.95183	7101	CM084263.1_rotation_0_offset_0	93	0.978495	0
SRR27841065.95183	7101	CM084263.1_rotation_0_offset_0	87	1.000000	19
SRR27841065.95183	7101	CM084263.1_rotation_0_offset_0	62	1.000000	21
SRR27841065.102070	2588	CM084263.1_rotation_0_offset_0	2604	0.980415	0
SRR27841065.102070	2588	CM084263.1_rotation_3_offset_10878	2604	0.980415	0
SRR27841065.102070	2588	CM084263.1_rotation_1_offset_3626	2604	0.980415	0
SRR27841065.102070	2588	CM084263.1_rotation_2_offset_7252	2604	0.980415	0
SRR27841065.109292	1128	CM084263.1_rotation_0_offset_0	1144	0.955420	0
SRR27841065.109292	1128	CM084263.1_rotation_3_offset_10878	1144	0.955420	0
SRR27841065.109292	1128	CM084263.1_rotation_1_offset_3626	1144	0.955420	0
SRR27841065.109292	1128	CM084263.1_rotation_2_offset_7252	1144	0.955420	0
SRR27841065.109334	766	CM084263.1_rotation_1_offset_3626	90	0.966667	0
SRR27841065.109334	766	CM084263.1_rotation_3_offset_10878	90	0.966667	0
SRR27841065.109334	766	CM084263.1_rotation_2_offset_7252	90	0.966667	0
SRR27841065.109334	766	CM084263.1_rotation_0_offset_0	88	0.965909	0
SRR27841065.109334	766	CM084263.1_rotation_0_offset_0	82	0.926829	1
SRR27841065.109334	766	CM084263.1_rotation_1_offset_3626	82	0.926829	0
SRR27841065.109334	766	CM084263.1_rotation_3_offset_10878	82	0.926829	0
SRR27841065.109334	766	CM084263.1_rotation_2_offset_7252	82	0.926829	0
SRR27841065.109334	766	CM084263.1_rotation_0_offset_0	70	0.957143	1
SRR27841065.109334	766	CM084263.1_rotation_1_offset_3626	92	0.836957	0
SRR27841065.109334	766	CM084263.1_rotation_2_offset_7252	92	0.836957	0
SRR27841065.109334	766	CM084263.1_rotation_0_offset_0	92	0.836957	0
SRR27841065.109334	766	CM084263.1_rotation_3_offset_10878	92	0.836957	0
SRR27841065.112119	10656	CM084263.1_rotation_0_offset_0	11343	0.790443	43
SRR27841065.112119	10656	CM084263.1_rotation_1_offset_3626	10431	0.793021	0
SRR27841065.112119	10656	CM084263.1_rotation_3_offset_10878	8394	0.789254	0
SRR27841065.112119	10656	CM084263.1_rotation_2_offset_7252	6739	0.790177	0
SRR27841065.113341	11007	CM084263.1_rotation_3_offset_10878	11070	0.489702	0
SRR27841065.113341	11007	CM084263.1_rotation_2_offset_7252	11070	0.489702	0
SRR27841065.113341	11007	CM084263.1_rotation_1_offset_3626	10694	0.472134	0
SRR27841065.113341	11007	CM084263.1_rotation_0_offset_0	3996	0.973223	0
SRR27841065.113739	718	CM084263.1_rotation_3_offset_10878	527	0.910816	1
SRR27841065.113739	718	CM084263.1_rotation_2_offset_7252	756	0.878307	0
SRR27841065.113739	718	CM084263.1_rotation_1_offset_3626	756	0.878307	0
SRR27841065.113739	718	CM084263.1_rotation_0_offset_0	756	0.878307	0
SRR27841065.120873	2332	CM084263.1_rotation_0_offset_0	2350	0.978723	0
SRR27841065.120873	2332	CM084263.1_rotation_1_offset_3626	2350	0.978723	0
SRR27841065.120873	2332	CM084263.1_rotation_2_offset_7252	2350	0.978723	0
SRR27841065.120873	2332	CM084263.1_rotation_3_offset_10878	2350	0.978723	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	493	0.361055	0
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	493	0.361055	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	91	1.000000	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	91	1.000000	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	91	1.000000	0
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	91	1.000000	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	91	0.978022	0
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	91	0.978022	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	91	0.978022	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	91	0.978022	0
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	91	0.967033	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	91	0.967033	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	91	0.967033	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	91	0.967033	0
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	87	0.977011	1
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	90	0.955556	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	90	0.955556	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	90	0.955556	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	87	0.977011	0
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	87	0.977011	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	90	0.955556	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	87	0.977011	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	97	0.917526	41
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	95	0.905263	1
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	91	0.967033	1
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	91	0.956044	1
SRR27841065.125158	4046	CM084263.1_rotation_1_offset_3626	95	0.915789	0
SRR27841065.125158	4046	CM084263.1_rotation_0_offset_0	94	0.946809	45
SRR27841065.125158	4046	CM084263.1_rotation_3_offset_10878	95	0.915789	0
SRR27841065.125158	4046	CM084263.1_rotation_2_offset_7252	95	0.915789	0
SRR27841065.126543	6250	CM084263.1_rotation_2_offset_7252	6083	0.980273	1
SRR27841065.126543	6250	CM084263.1_rotation_0_offset_0	6304	0.978902	0
