taxon	arm	region	residual_unsupported_loci	evaluation_status
animal	B0	core	4	EVALUABLE
animal	B0	outside_frozen_core	2	NOT_EVALUABLE
animal	C0	outside_frozen_core	1	NOT_EVALUABLE
animal	P0	outside_frozen_core	0	NOT_EVALUABLE
animal	R1	core	2	EVALUABLE
animal	R1	outside_frozen_core	0	NOT_EVALUABLE
animal	R1C1	outside_frozen_core	0	NOT_EVALUABLE
animal	R1P1	outside_frozen_core	0	NOT_EVALUABLE
plant	B0	ir_gap_closure_interval	21	EVALUABLE
plant	B0	unique_or_unresolved_flank	210	EVALUABLE
plant	B0	outside_frozen_core	0	NOT_EVALUABLE
plant	C0	ir_gap_closure_interval	5	EVALUABLE
plant	C0	unique_or_unresolved_flank	6	EVALUABLE
plant	C0	outside_frozen_core	0	NOT_EVALUABLE
plant	P0	unique_or_unresolved_flank	2	EVALUABLE
plant	P0	outside_frozen_core	0	NOT_EVALUABLE
plant	R1	ir_gap_closure_interval	3	EVALUABLE
plant	R1	unique_or_unresolved_flank	100	EVALUABLE
plant	R1	outside_frozen_core	4	NOT_EVALUABLE
plant	R1C1	unique_or_unresolved_flank	3	EVALUABLE
plant	R1C1	outside_frozen_core	1	NOT_EVALUABLE
plant	R1P1	unique_or_unresolved_flank	1	EVALUABLE
plant	R1P1	outside_frozen_core	0	NOT_EVALUABLE
