role	arm	path	size_bytes	sha256
evaluation_policy	ALL	/home/iris-hp/Project/organelle-auth-plant-callability/openspec/changes/archive/2026-08-13-m4-hybrid-backbone-and-polish/evidence/evaluation-policy.json	1303	20e997a52c75e5b9b01babf509e6a0f4e9d7def846f5deb90ef58da23bd91cbf
regions_bed	ALL	/home/iris-hp/Project/organelle-auth-plant-callability/openspec/changes/archive/2026-08-13-m4-hybrid-backbone-and-polish/evidence/plant-regions.bed	176	403c07281c82c8d31ff3dc875118ab44c62e4c089a70f437257aeeb20b133b23
projection_paf	B0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.B0.candidate-to-b0.paf	200496	639c6e162d5c3819ce5df3d13c2b338a3186b0a11fe56b15fbcad0143e6f1213
heldout_depth	B0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.B0.heldout.depth.tsv	3629654	24d0201e5cdfc46ae35a114bef3112f7a99fe4388a1ac1fa9a97dbb3d0ee950d
residual_ledger	B0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.B0.heldout-edit-ledger.tsv	53995	5c866c4a91a6f63a159a893d9beb103334ff8cce976d0129cf89a40d97fbee1f
projection_paf	R1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.R1.candidate-to-b0.paf	204116	fb37033358c4fc9565eb865a928c21e8fcb706ee367e75ea7e015e52d7ef08a6
heldout_depth	R1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.R1.heldout.depth.tsv	3615445	4e0740ed232fe586128c5a8920bea406bbf66e4bc9aabbc82f0f805e1d3695d3
residual_ledger	R1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.R1.heldout-edit-ledger.tsv	24979	c98c6b926e04f15d5e29fb30b08611f261c8800c523491995cbef30784fd1062
projection_paf	P0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.P0.candidate-to-b0.paf	203990	e25f451c6892acd2c50d1fed74a40d043cc6c1df110b1c65794f7855e1d0a7ac
heldout_depth	P0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.P0.heldout.depth.tsv	3599538	aed20317141017b3f7b02703c3cc1820981098934fc36a8f9fcbdeb233ca3bbd
residual_ledger	P0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.P0.heldout-edit-ledger.tsv	644	9b71e3930022ae9d459f793531d624ab3bba986da6d5fb3706302d77fb0a0e3b
projection_paf	C0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.C0.candidate-to-b0.paf	202750	23b36d597d8d364ca4f0cf2e22c3f492f8496a018a2a633d7d2009243e0b6d95
heldout_depth	C0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.C0.heldout.depth.tsv	3643420	9ff00338cc86d668219475d146632b1ac0f2dfa6853ad6345e405d289edd6cdd
residual_ledger	C0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.C0.heldout-edit-ledger.tsv	2737	6cffd9f02f8f33ca8b9d4dc934d5b6e4998c7b4d6345a82664acc73e058d7e96
projection_paf	R1P1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.R1P1.candidate-to-b0.paf	204118	1557cef2d24814914e436ee12eaacb95d9d169ef93fa67be9e4e54ed483a896e
heldout_depth	R1P1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.R1P1.heldout.depth.tsv	3597507	22d1bd11d18f560669464979f5d93a477bc3c0b1e86fdfb47f3b513ced946c85
residual_ledger	R1P1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.R1P1.heldout-edit-ledger.tsv	414	ddfc89e5b601edf37fefa4f9eb022886ad7e9388bf89e0307b869ecef795d98c
projection_paf	R1C1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_candidate_to_b0/plant.R1C1.candidate-to-b0.paf	204005	e625e4f6983e7e2ffdd916fda3927cd2bc20592ff4be13163aa825c2f4444767
heldout_depth	R1C1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_sr_align_heldout/plant.R1C1.heldout.depth.tsv	3616921	0528fb11332075b0fc120a9a7538d93fef8744ae8ccc15d1c7554dcbad3b13cf
residual_ledger	R1C1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_heldout_evaluate/plant.R1C1.heldout-edit-ledger.tsv	1095	a7361f0a51eb1ffa26afcef61d16dd49960d46e5cf18927a139375e7f36d3171
