read_id	read_length	at_fraction	anchor_records	anchor_query_breadth	anchor_query_fraction	best_anchor_span	best_anchor_identity	high_conf_units	same_strand_units	self_records	high_identity_self_records	classification	evidence_grade	rationale	dotplot
SRR27841065.1120618	70627	0.685828	1	297	0.004205	297	0.886288	0	0	10	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.1120618.svg
SRR27841065.1280039	48612	0.636900	1	2024	0.041636	2024	0.932876	0	0	4	0	NUMT_FLANK_CHIMERA	SUGGESTIVE	A substantial mt-like segment is embedded within much longer unaligned flanks; no nuclear reference is available for confirmation.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.1280039.svg
SRR27841065.1765199	69175	0.693155	1	290	0.004192	290	0.880952	0	0	4	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.1765199.svg
SRR27841065.1920785	39174	0.664778	1	93	0.002374	93	0.967742	0	0	3	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.1920785.svg
SRR27841065.2105647	34103	0.640853	0	0	0.000000	0	0.000000	0	0	2	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.2105647.svg
SRR27841065.2743708	42510	0.685015	1	293	0.006892	293	0.907850	0	0	3	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.2743708.svg
SRR27841065.2890335	41325	0.690454	1	849	0.020544	849	0.970726	0	0	47	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.2890335.svg
SRR27841065.2946767	38227	0.775054	4	27709	0.724854	10085	0.978966	1	1	206	6	CHIMERIC_JUNK	SUGGESTIVE	Near-complete anchor-scale groups occur in opposite orientations, not as a same-direction concatemer.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.2946767.svg
SRR27841065.490838	35480	0.666094	1	94	0.002649	94	0.957447	0	0	6	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.490838.svg
SRR27841065.61915	37365	0.708685	1	295	0.007895	295	0.889262	0	0	4	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.61915.svg
SRR27841065.664285	41929	0.684276	1	290	0.006916	290	0.887372	0	0	0	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.664285.svg
SRR27841065.721323	34429	0.644863	1	654	0.018996	654	0.984825	0	0	8	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.721323.svg
SRR27841065.735756	32601	0.670562	1	869	0.026656	869	0.948832	0	0	4	0	CHIMERIC_JUNK	SUGGESTIVE	Only short or weak mt-like local matches occur and no near-complete anchor unit is supported.	runs/output/animal-lr-recruitment-diagnostics/F/dotplots/SRR27841065.735756.svg
