taxon	arm	core_bases	callable_core_bases	residual_unsupported_loci	evaluable_homopolymer_discordances	heldout_core_concordance	snvs	indels	outside_core_residuals	status	assembly_grade	decision	candidate_sha256
animal	B0	10692	10494	4	4	0.9992376596150181	0	4	2	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	d8d5f1215a8a688f0001d4fb9177c94d34c558c5f60879d3757ac366ae250e75
animal	R1	10692	10494	2	2	0.999618829807509	0	2	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	c7f60cae9a87ebac3d3556298c0aac8a4d2de6680799449ab5a2f5a7cab4cc47
animal	P0	10692	10494	0	0	1.0	0	0	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	1ff1d8d500bd4c8bcce50bee7e453362dc0d72dcb825869c6f800001f0ca220c
animal	C0	10692	10494	0	0	1.0	0	0	1	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	c65c26b5b06a4db32b8625f118c6b8ac7adb071779af01a82a00e8f2a7ab686d
animal	R1P1	10692	10494	0	0	1.0	0	0	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	4cd863fddc027be947454f41a1f759b6b82bee0264e2ebff710b2b78a7a12b3d
animal	R1C1	10692	10494	0	0	1.0	0	0	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	bb0210cb02c31e45721e5d0ed29f565def6302f0cd435678ce775744ec15c2ea
plant	B0	200144	134324	231	224	0.9963297698103094	1	230	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	b8d56a6f4e8d38a08d5668faa36b481eb75e12133a67652d21c6d5871d55cf0b
plant	R1	199956	120796	103	68	0.9979552303056393	14	89	4	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	6744d1ca3ee8b25175fdaf210543c313bb7ca32d0b75bab6909d38445a8e0735
plant	P0	200144	107186	2	2	0.9999626816935048	0	2	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	803eed2cd1b016ec68d7436e76e687c188e7f0eded3a6e9a3eaca078359b2b54
plant	C0	200144	137114	11	10	0.9998030835655003	0	11	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	23a40675c9504ac1c690d15b633f508ce0e7bb71edbd24fc17e7d3ec41338a64
plant	R1P1	200004	106968	1	1	0.9999813028195348	0	1	0	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	33da5201057709a0c092ca83aa597a7bc00e0f76f444f94a861f219da57a00bc
plant	R1C1	199989	120814	3	2	0.9999172281358121	0	3	1	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE	5090b3218677deb688d65ba71c690d7892184819005a30ae6c4d0a3d92bcb2f9
