arm	source_contig	source_position_1based	variant_type	source_region	b0_contig	b0_position_1based	b0_region	status	reason
B0	contig_1	228	INDEL	ir_gap_closure_interval	contig_1	228	ir_gap_closure_interval	INCLUDED	COMMON_CALLABLE_UNIQUE_ANCHOR
B0	contig_1	1293	INDEL	ir_gap_closure_interval	contig_1	1293	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	8763	INDEL	ir_gap_closure_interval	contig_1	8763	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	10262	INDEL	ir_gap_closure_interval	contig_1	10262	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	13685	INDEL	ir_gap_closure_interval	contig_1	13685	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	15361	INDEL	ir_gap_closure_interval	contig_1	15361	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	17914	INDEL	ir_gap_closure_interval	contig_1	17914	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	19044	INDEL	ir_gap_closure_interval	contig_1	19044	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	19398	INDEL	ir_gap_closure_interval	contig_1	19398	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	20382	INDEL	ir_gap_closure_interval	contig_1	20382	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	20393	INDEL	ir_gap_closure_interval	contig_1	20393	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	22924	INDEL	ir_gap_closure_interval	contig_1	22924	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	24245	INDEL	ir_gap_closure_interval	contig_1	24245	ir_gap_closure_interval	INCLUDED	COMMON_CALLABLE_UNIQUE_ANCHOR
B0	contig_1	24761	INDEL	ir_gap_closure_interval	contig_1	24761	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	25614	INDEL	ir_gap_closure_interval	contig_1	25614	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	25747	INDEL	ir_gap_closure_interval	contig_1	25747	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	25821	INDEL	ir_gap_closure_interval	contig_1	25821	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	28424	INDEL	ir_gap_closure_interval	contig_1	28424	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	34213	INDEL	ir_gap_closure_interval	contig_1	34213	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	34997	INDEL	ir_gap_closure_interval	contig_1	34997	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	35431	INDEL	ir_gap_closure_interval	contig_1	35431	ir_gap_closure_interval	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	39245	INDEL	unique_or_unresolved_flank	contig_1	39245	unique_or_unresolved_flank	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	39347	INDEL	unique_or_unresolved_flank	contig_1	39347	unique_or_unresolved_flank	EXCLUDED	OUTSIDE_COMMON_CALLABLE
B0	contig_1	42317	INDEL	unique_or_unresolved_flank	contig_1	42317	unique_or_unresolved_flank	EXCLUDED	OUTSIDE_COMMON_CALLABLE
