taxon	arm	path	file_sha256	sequence_content_sha256	bases	contigs	status	assembly_grade	decision
plant	B0	/home/iris-hp/corydalis_validation/out_lr_reference_first_v4/plant_long_read_evaluation/flye_final/SRR38978847.final.flye.fasta	b8d56a6f4e8d38a08d5668faa36b481eb75e12133a67652d21c6d5871d55cf0b	ac95e400811dc4dee93fdcf5a1ce9dde8f561c1671130bc276c0295d1210ce0e	200144	contig_1:104098;contig_2:96046	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
plant	R1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/backbones-v2/plant/R1.fasta	6744d1ca3ee8b25175fdaf210543c313bb7ca32d0b75bab6909d38445a8e0735	0a2b6bb1bb0a5b5f73f512b6ecf6d4f819bd326b412cf3360ba2a730fa2ae898	200417	contig_1:104142;contig_2:96275	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
plant	P0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_polypolish/plant.P0.fasta	803eed2cd1b016ec68d7436e76e687c188e7f0eded3a6e9a3eaca078359b2b54	056bad33df12fa18e042bee9ee797ea2d9e7e113ddc7635f8f60001e14a37a66	200575	contig_1:104311;contig_2:96264	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
plant	C0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_bcftools_consensus/plant.C0.fasta	23a40675c9504ac1c690d15b633f508ce0e7bb71edbd24fc17e7d3ec41338a64	f6cba5cf7535ba4a4bd973c98a6077ff9b342a8efc80c76f4d66d90ef5b73c1b	200420	contig_1:104179;contig_2:96241	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
plant	R1P1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_polypolish/plant.R1P1.fasta	33da5201057709a0c092ca83aa597a7bc00e0f76f444f94a861f219da57a00bc	05359e9ef786a01fd37723918abda29e4d1c6664a7eea3fadbc4534b8eebb01d	200473	contig_1:104187;contig_2:96286	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
plant	R1C1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_bcftools_consensus/plant.R1C1.fasta	5090b3218677deb688d65ba71c690d7892184819005a30ae6c4d0a3d92bcb2f9	f0898cf5b22e85696c1bc8d79bfea6cc96411390c8c1304ca29422b9244e8e24	200429	contig_1:104144;contig_2:96285	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	B0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/animal-lr-recruitment-diagnostics/D/flye-baseline-rep1-2.9.6/assembly.fasta	d8d5f1215a8a688f0001d4fb9177c94d34c558c5f60879d3757ac366ae250e75	b7cca8bc24aebb02c28f4df74b50d40d472f925fc899463d626b4bb3181b12db	17641	contig_1:3243;contig_2:3593;contig_3:10805	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	R1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/backbones-v2/animal/R1.fasta	c7f60cae9a87ebac3d3556298c0aac8a4d2de6680799449ab5a2f5a7cab4cc47	3e817dbe62a7d7e65887f3f894e73fa585136ea7149c6f177c4ca12ff5d43baa	17650	contig_1:3234;contig_2:3612;contig_3:10804	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	P0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_polypolish/animal.P0.fasta	1ff1d8d500bd4c8bcce50bee7e453362dc0d72dcb825869c6f800001f0ca220c	7355e8e33f6b193fe3e098de804a2aef65523634e96ad0b492654e8f21cefb21	17647	contig_1:3244;contig_2:3593;contig_3:10810	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	C0	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_bcftools_consensus/animal.C0.fasta	c65c26b5b06a4db32b8625f118c6b8ac7adb071779af01a82a00e8f2a7ab686d	55d8223db05a10c42394a7adbd37fb60d1a35318b3b026392b2c0727a04d41cf	17646	contig_1:3244;contig_2:3593;contig_3:10809	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	R1P1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_polypolish/animal.R1P1.fasta	4cd863fddc027be947454f41a1f759b6b82bee0264e2ebff710b2b78a7a12b3d	3f7a1680f0d89fb414c2f0c824fc4310df3bbac2b4923253791b8558085cab77	17652	contig_1:3235;contig_2:3612;contig_3:10805	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
animal	R1C1	/home/iris-hp/Project/organelle-auth-ci-fix/runs/output/m4-hybrid-backbone-and-polish/matrix-v1/m4_hybrid_evaluation/m4_bcftools_consensus/animal.R1C1.fasta	bb0210cb02c31e45721e5d0ed29f565def6302f0cd435678ce775744ec15c2ea	3f7a1680f0d89fb414c2f0c824fc4310df3bbac2b4923253791b8558085cab77	17652	contig_1:3235;contig_2:3612;contig_3:10805	INCONCLUSIVE	CANDIDATE	NOT_APPLICABLE
